"","yhat","se","yexp","diff","rf_result","real_y_rf"
"508",518.118726607442,0.195979070808973,519.458054561379,1.33932795393741,522.979406400975,522.088891134565
"511",520.879338224738,0.419239032947045,521.219105168692,0.339766943953805,521.605647447914,521.561118523033
"513",521.645270793062,0.329109741786137,523.89419206865,2.2489212755878,517.705894830185,517.547814145943
"514",525.419045501155,0.183999058842998,528.685581213117,3.26653571196198,519.90463911248,519.693849613021
"517",518.024643674911,0.250798199895855,515.793427510506,-2.23121616440562,518.036517651202,515.204885772962
"519",521.970198447177,0.210581768346092,522.854379808014,0.884181360837374,530.467357421822,531.5650018314
"522",522.610890651312,0.206911163643452,523.293732848103,0.682842196790716,520.923204098201,520.951123239627
"526",521.427284230811,0.383679459784833,521.561118523033,0.133834292221991,518.939453191657,519.599057146092
"527",524.031398140234,0.392465059046336,525.192677810844,1.16127967061027,520.398019877563,520.697372480721
"528",518.57582862411,0.249363868612535,517.45517437648,-1.12065424763,527.649773589825,529.570716640078
"529",518.990352813811,0.243085050622593,517.547814145943,-1.44253866786858,521.412935013954,519.165358384674
"530",514.703404486356,0.279435754713251,512.85777480243,-1.84562968392697,518.457456484742,518.393078535746
"531",521.669177048894,0.460416036327218,521.618867207662,-0.0503098412315239,524.685416155457,524.634541563582
"533",521.009167910316,0.291209225673907,519.729648603826,-1.27951930649078,522.806042152229,522.075855534499
"538",526.399997824596,0.3573756527072,527.547372912271,1.14737508767507,523.825170072038,524.252770092375
"540",523.054843441508,0.571115881589644,523.947404598034,0.892561156525858,523.396801775847,522.063086480373
"541",516.060680937582,0.171021746453101,514.495473964955,-1.56520697262658,517.793904398433,517.853718212543
"542",519.109396342351,0.356502618588082,519.599057146092,0.48966080374089,515.133206266569,514.146735104523
"544",522.491353113347,0.237830754080317,521.997422600908,-0.493930512439306,520.234437419987,519.282034960179
"546",516.116795297841,0.431269095250852,514.95450230163,-1.16229299621102,513.081741932874,514.125982160778
"547",521.82193077951,0.304426397055646,521.622754781361,-0.199175998149144,525.270164029155,524.485141680417
"549",520.793027826436,0.333936621933645,519.165358384674,-1.62766944176212,520.277156659476,523.268522072566
"551",523.885413287524,0.263718587662716,524.634541563582,0.749128276058173,522.827271195455,521.602348683972
"554",523.200861713035,0.328084411061185,524.252770092375,1.05190837933912,522.266511520933,521.733518424524
